1	224	245
2	70	17
3	73	210
4	79	138
5	101	195
6	23	159
7	109	115
8	30	109
9	179	38
10	99	137
11	71	34
12	15	21
13	1	56
14	195	18
15	243	186
16	48	27
17	95	26
18	84	240
19	48	144
20	31	248
21	223	201
22	48	93
23	22	244
24	193	236
25	59	169
26	252	76
27	187	118
28	188	138
29	240	184
30	194	111
31	213	149
32	58	130
33	228	67
34	240	34
35	168	176
36	28	124
37	63	56
38	112	61
39	79	67
40	252	228
41	181	198
42	174	9
43	251	114
44	131	9
45	112	90
46	127	4
47	68	200
48	187	12
49	208	238
50	186	198
51	173	219
52	63	161
53	141	204
54	63	74
55	97	68
56	1	63
57	117	182
58	33	184
59	76	237
60	100	4
61	36	110
62	62	176
63	131	123
64	252	60
65	200	8
66	5	183
67	252	244
68	221	6
69	150	167
70	110	121
71	196	156
72	55	242
73	109	209
74	135	215
75	16	96
76	64	157
77	202	74
78	209	106
79	111	120
80	69	220
81	125	111
82	44	39
83	9	170
84	14	240
85	247	104
86	242	117
87	131	43
88	215	81
89	221	241
90	144	184
91	4	125
92	103	49
93	241	129
94	203	133
95	63	160
96	209	25
97	157	136
98	23	192
99	253	45
100	51	66
101	79	213
102	45	37
103	204	225
104	213	41
105	254	217
106	131	51
107	111	43
108	57	18
109	170	106
110	114	215
111	49	91
112	188	140
113	124	54
114	70	189
115	77	173
116	234	214
117	215	246
118	213	244
119	64	34
120	214	143
121	88	137
122	45	148
123	44	167
124	231	88
125	220	219
126	197	237
127	21	182
128	108	92
129	162	179
130	135	34
131	194	79
132	82	203
133	49	155
134	24	137
135	225	160
136	8	204
137	3	41
138	90	243
139	130	79
140	44	194
141	183	56
142	44	170
143	24	155
144	105	201
145	14	163
146	139	20
147	227	32
148	190	239
149	100	31
150	60	239
151	178	109
152	159	72
153	242	92
154	72	37
155	160	177
156	211	25
157	216	229
158	166	27
159	27	106
160	88	195
161	27	20
162	229	34
163	93	147
164	103	119
165	207	187
166	32	196
167	220	42
168	78	173
169	64	47
170	100	223
171	21	151
172	84	76
173	135	40
174	43	198
175	27	158
176	96	231
177	134	130
178	238	247
179	128	134
180	115	87
181	103	7
182	15	224
183	33	174
184	121	3
185	140	228
186	237	178
187	90	12
188	64	129
189	134	52
190	164	46
191	139	117
192	51	218
193	57	238
194	227	218
195	137	7
196	84	173
197	72	140
198	42	31
199	16	59
200	2	242
201	172	184
202	126	122
203	4	53
204	96	127
205	23	36
206	7	133
207	74	142
208	4	132
209	30	133
210	12	85
211	224	117
212	205	199
213	233	89
214	89	112
215	135	227
216	238	39
217	162	26
218	239	232
219	195	229
220	101	38
221	97	233
222	221	142
223	22	4
224	176	175
225	93	56
226	81	209
227	152	116
228	102	50
229	244	110
230	114	180
231	45	35
232	200	49
233	91	143
234	56	72
235	153	151
236	24	47
237	64	77
238	178	244
239	206	224
240	57	37
241	143	80
242	198	56
243	32	62
244	4	101
245	50	115
246	157	1
247	62	201
248	121	125
249	22	245
250	110	76
251	21	173
252	106	156
253	13	220
254	196	184
